   support confidence     lift leverage   jaccard
1    0.215  0.8958333 3.656463 0.156200 0.7962963
2    0.215  0.8775510 3.656463 0.156200 0.7962963
3    0.215  0.8958333 3.583333 0.155000 0.7818182
4    0.215  0.8600000 3.583333 0.155000 0.7818182
5    0.220  0.9166667 3.666667 0.160000 0.8148148
6    0.220  0.8800000 3.666667 0.160000 0.8148148
7    0.200  0.8163265 3.265306 0.138750 0.6779661
8    0.200  0.8000000 3.265306 0.138750 0.6779661
9    0.245  1.0000000 4.000000 0.183750 0.9800000
10   0.245  0.9800000 4.000000 0.183750 0.9800000
11   0.225  0.9183673 3.673469 0.163750 0.8333333
12   0.225  0.9000000 3.673469 0.163750 0.8333333
13   0.205  0.8200000 3.280000 0.142500 0.6949153
14   0.205  0.8200000 3.280000 0.142500 0.6949153
15   0.240  0.9600000 3.764706 0.176250 0.9056604
16   0.240  0.9411765 3.764706 0.176250 0.9056604
17   0.215  0.8600000 3.372549 0.151250 0.7413793
18   0.215  0.8431373 3.372549 0.151250 0.7413793
19   0.240  0.9600000 3.764706 0.176250 0.9056604
20   0.240  0.9411765 3.764706 0.176250 0.9056604
21   0.235  0.9400000 3.686275 0.171250 0.8703704
22   0.235  0.9215686 3.686275 0.171250 0.8703704
23   0.205  0.8200000 3.094340 0.138750 0.6612903
24   0.205  0.7735849 3.094340 0.138750 0.6612903
25   0.210  0.8235294 3.229527 0.144975 0.7000000
26   0.210  0.8235294 3.229527 0.144975 0.7000000
27   0.230  0.9019608 3.537101 0.164975 0.8214286
28   0.230  0.9019608 3.537101 0.164975 0.8214286
29   0.215  0.8431373 3.181650 0.147425 0.7049180
30   0.215  0.8113208 3.181650 0.147425 0.7049180
31   0.230  0.9019608 3.537101 0.164975 0.8214286
32   0.230  0.9019608 3.537101 0.164975 0.8214286
33   0.200  0.7843137 3.016591 0.133700 0.6349206
34   0.200  0.7692308 3.016591 0.133700 0.6349206
35   0.215  0.8431373 3.181650 0.147425 0.7049180
36   0.215  0.8113208 3.181650 0.147425 0.7049180
37   0.210  0.8235294 3.107658 0.142425 0.6774194
38   0.210  0.7924528 3.107658 0.142425 0.6774194
39   0.205  0.7884615 2.975327 0.136100 0.6406250
40   0.205  0.7735849 2.975327 0.136100 0.6406250
41   0.200  0.9302326 3.720930 0.146250 0.7547170
42   0.200  0.9302326 3.796868 0.147325 0.7692308
43   0.200  1.0000000 4.166667 0.152000 0.8333333
44   0.215  1.0000000 4.000000 0.161250 0.8600000
45   0.215  0.9772727 3.988868 0.161100 0.8600000
46   0.215  0.8775510 3.656463 0.156200 0.7962963
47   0.205  0.9534884 3.813953 0.151250 0.7884615
48   0.205  0.9318182 3.727273 0.150000 0.7735849
49   0.205  1.0000000 4.166667 0.155800 0.8541667
50   0.200  1.0000000 4.000000 0.150000 0.8000000
51   0.200  0.8163265 3.265306 0.138750 0.6779661
52   0.200  0.9756098 3.982081 0.149775 0.8000000
53   0.205  0.9534884 3.739170 0.150175 0.7735849
54   0.205  0.8541667 3.349673 0.143800 0.7068966
55   0.205  0.9761905 3.904762 0.152500 0.8039216
56   0.215  1.0000000 3.921569 0.160175 0.8431373
57   0.215  0.9148936 3.587818 0.155075 0.7818182
58   0.215  0.9347826 3.739130 0.157500 0.8113208
59   0.225  0.9375000 3.676471 0.163800 0.8333333
60   0.225  0.9574468 3.754693 0.165075 0.8490566
61   0.225  0.9782609 3.913043 0.167500 0.8823529
62   0.200  0.8333333 3.144654 0.136400 0.6557377
63   0.200  0.9756098 3.825921 0.147725 0.7692308
64   0.200  0.9302326 3.720930 0.146250 0.7547170
65   0.210  1.0000000 3.921569 0.156450 0.8235294
66   0.210  0.9130435 3.580563 0.151350 0.7636364
67   0.210  0.9130435 3.580563 0.151350 0.7636364
68   0.205  0.8913043 3.363413 0.144050 0.7068966
69   0.205  0.9534884 3.739170 0.150175 0.7735849
70   0.205  0.9761905 3.828198 0.151450 0.7884615
71   0.200  1.0000000 4.000000 0.150000 0.8000000
72   0.200  0.9302326 3.720930 0.146250 0.7547170
73   0.200  0.9756098 3.982081 0.149775 0.8000000
74   0.200  1.0000000 4.166667 0.152000 0.8333333
75   0.205  1.0000000 3.921569 0.152725 0.8039216
76   0.205  0.9534884 3.739170 0.150175 0.7735849
77   0.205  0.9111111 3.572985 0.147625 0.7454545
78   0.205  0.9761905 3.904762 0.152500 0.8039216
