       support confidence      lift      leverage   jaccard
1    0.9017236  0.9017236 1.0000000 -1.110223e-16 0.9017236
2    0.9281757  0.9281757 1.0000000 -1.110223e-16 0.9281757
3    0.9695829  0.9695829 1.0000000  1.110223e-16 0.9695829
4    0.9797491  0.9797491 1.0000000  1.110223e-16 0.9797491
5    0.2085295  0.9692418 0.9996482 -7.338160e-05 0.2136134
6    0.2108108  0.9798452 1.0000981  2.067529e-05 0.2142200
7    0.2047726  0.9036794 1.0021690  4.431815e-04 0.2217234
8    0.2099598  0.9265711 0.9982712 -3.636101e-04 0.2222233
9    0.2196643  0.9693979 0.9998093 -4.189900e-05 0.2249467
10   0.2219547  0.9795054 0.9997513 -5.520969e-05 0.2254736
11   0.2049355  0.9042902 1.0028462  5.816414e-04 0.2219325
12   0.2104215  0.9284972 1.0003464  7.287121e-05 0.2228144
13   0.2200264  0.9708796 1.0013374  2.938778e-04 0.2253948
14   0.2220723  0.9799073 1.0001615  3.586751e-05 0.2256139
15   0.2135809  0.9113489 1.0106743  2.255743e-03 0.2315241
16   0.2209317  0.9427148 1.0156641  3.407333e-03 0.2346341
17   0.2303737  0.9830037 1.0138419  3.145271e-03 0.2366287
18   0.2305638  0.9838149 1.0041499  9.528568e-04 0.2344219
19   0.2149479  0.9032945 1.0017421  3.738090e-04 0.2324425
20   0.2207325  0.9276040 0.9993841 -1.360292e-04 0.2334798
21   0.2305366  0.9688047 0.9991974 -1.851717e-04 0.2359623
22   0.2334064  0.9808643 1.0011383  2.653919e-04 0.2371287
23   0.2168308  0.8906738 0.9877459 -2.690036e-03 0.2335687
24   0.2251955  0.9250335 0.9966146 -7.649623e-04 0.2379431
25   0.2282735  0.9376766 0.9670928 -7.767436e-03 0.2318073
26   0.2382948  0.9788413 0.9990735 -2.209922e-04 0.2419482
27   0.2360226  0.9569111 1.1915437  3.794124e-02 0.2900563
28   0.2130468  0.8637598 0.9578986 -9.363795e-03 0.2277778
29   0.2436450  0.9878147 1.0642540  1.471000e-02 0.2616515
30   0.2416172  0.9795933 1.0103245  2.469091e-03 0.2479101
31   0.2430204  0.9852822 1.0056476  1.364763e-03 0.2471278
32   0.2223258  0.8978868 0.9957450 -9.500377e-04 0.2398316
33   0.2269789  0.9166789 0.9876135 -2.846734e-03 0.2392256
34   0.2400239  0.9693624 0.9997726 -5.458907e-05 0.2456319
35   0.2413275  0.9746271 0.9947722 -1.268253e-03 0.2447462
36   0.2398157  0.9647123 1.0698536  1.565821e-02 0.2633902
37   0.2386298  0.9599417 0.9900564 -2.396664e-03 0.2436139
38   0.2395351  0.9635834 0.9835002 -4.018587e-03 0.2422478
39   0.2230591  0.8964564 0.9941587 -1.310616e-03 0.2404982
40   0.2316863  0.9311286 1.0031814  7.347447e-04 0.2450897
41   0.2414180  0.9702394 1.0006771  1.633634e-04 0.2471044
42   0.2438441  0.9799898 1.0002457  5.990529e-05 0.2476259
43   0.2254309  0.9017889 1.0000724  1.632611e-05 0.2433737
44   0.2326640  0.9307235 1.0027450  6.369166e-04 0.2460768
45   0.2427397  0.9710292 1.0014917  3.615582e-04 0.2484987
46   0.2445865  0.9784167 0.9986401 -3.330542e-04 0.2482747
47   0.2254490  0.9018287 1.0001165  2.626850e-05 0.2433957
48   0.2319217  0.9277204 0.9995095 -1.138092e-04 0.2450969
49   0.2424229  0.9697266 1.0001483  3.593553e-05 0.2480915
50   0.2457090  0.9828716 1.0031871  7.806140e-04 0.2496964
51   0.2253675  0.9014375 0.9996827 -7.153212e-05 0.2432815
52   0.2310527  0.9241771 0.9956920 -9.996757e-04 0.2439498
53   0.2414723  0.9658544 0.9961545 -9.321551e-04 0.2468740
54   0.2447042  0.9787812 0.9990121 -2.419770e-04 0.2484170
55   0.2254762  0.9018394 1.0001284  2.893751e-05 0.2434250
56   0.2325373  0.9300818 1.0020536  4.765684e-04 0.2459004
57   0.2429479  0.9717213 1.0022056  5.346614e-04 0.2487556
58   0.2447494  0.9789268 0.9991607 -2.055828e-04 0.2484721
59   0.2252861  0.8997108 0.9977678 -5.040180e-04 0.2430701
60   0.2339857  0.9344541 1.0067642  1.572098e-03 0.2477119
61   0.2419612  0.9663051 0.9966195 -8.207348e-04 0.2473990
62   0.2459896  0.9823933 1.0026989  6.621256e-04 0.2499494
